epoch,acc,loss,val_acc,val_loss
0,0.198371312243,7.44616582668,0.208,3.0603951664
1,0.177155511123,2.69950783044,0.138,2.56470940463
2,0.160297164094,2.47694496308,0.174666666667,2.43274796359
3,0.17979855704,2.40922773558,0.1605,2.46883987459
4,0.182655903997,2.359258334,0.187666666667,2.36881556638
5,0.182298735631,2.33178299476,0.0978333333333,2.53143545659
6,0.184656046875,2.31820857527,0.1975,2.34847777685
7,0.185656118309,2.29545777504,0.101833333333,2.42490165138
8,0.193442388745,2.30323660925,0.101833333333,2.42028415362
9,0.204586041868,2.27019198263,0.2365,2.2910041949
10,0.212800914358,2.23823933912,0.202833333333,2.25693767357
11,0.219229944999,2.19485252668,0.180333333333,2.2448540322
