epoch,acc,loss,val_acc,val_loss
0,0.237802700199,5.37061709325,0.304,3.05081701724
1,0.29280662906,2.56194740146,0.283666666667,2.41661022186
2,0.331452246591,2.20026647952,0.290666666667,2.24200805537
3,0.343953139525,2.0940121715,0.279,2.21730095164
4,0.349453532425,2.04542239885,0.293,2.15592577267
5,0.367383384534,1.98094096356,0.2485,2.24689833387
6,0.379384241738,1.9439533462,0.263833333333,2.24237284406
7,0.384384598911,1.89708997231,0.211666666667,2.52390515614
8,0.398599900004,1.85770983914,0.2365,2.39120939477
9,0.406243303104,1.8436715958,0.1825,2.28715510305
10,0.42831630831,1.80020434156,0.2125,2.52897476451
11,0.465247517705,1.72364330962,0.44,1.83266946061
12,0.485606114729,1.66563516302,0.248,2.63181250509
13,0.511607972024,1.59274639851,0.203833333333,2.30343606281
14,0.52325166085,1.56918873627,0.286166666667,2.58709824498
15,0.542324451776,1.53127677967,0.211833333333,3.23996052933
16,0.594328166323,1.41417990473,0.327833333333,2.21399409358
