epoch,acc,loss,val_acc,val_loss
0,0.206157582699,5.43922004002,0.2315,3.1998901488
1,0.27544824631,2.59176382031,0.358166666667,2.27836164792
2,0.296378312743,2.23725992478,0.3425,2.14010016123
3,0.307093363815,2.15096478738,0.235,2.35665865231
4,0.319451389406,2.10485174272,0.377166666667,2.07829754639
5,0.351667976287,2.03104449133,0.335333333333,2.14562137063
6,0.371740838638,1.97167835427,0.322333333333,2.14663608106
7,0.389956425465,1.90437267625,0.255833333333,2.28204677868
8,0.410386456186,1.86426130017,0.463666666667,1.90231224378
9,0.419744267454,1.82062554293,0.201,2.64011249955
10,0.438245588986,1.75246823659,0.2185,2.57686830266
11,0.468033430989,1.68994815283,0.4255,1.81812073135
12,0.494535323977,1.62419255346,0.337,2.17383457279
13,0.509107793439,1.5764231182,0.4135,1.85631668091
14,0.532752339478,1.54201766698,0.400666666667,1.97934809939
15,0.546967640576,1.49629372502,0.3875,2.17517959976
16,0.581612972381,1.42294433441,0.325166666667,2.11870693429
17,0.626616186873,1.36870544811,0.274,2.58973768934
18,0.657475533984,1.30852480409,0.294166666667,2.91248564529
19,0.703050217898,1.20311614437,0.23,3.04456814671
